bc_wells	gene_count	tscp_count	mread_count	pct_counts_mt	cluster	pct_counts_mt_below_15
34_31_78__s1	841	1238	1591	15.751211	3	0
34_31_94__s1	748	1119	1498	16.979446	2	0
34_32_19__s1	602	856	1159	17.777779	2	0
34_32_24__s1	860	1272	1722	17.610064	2	0
34_32_26__s1	602	949	1257	21.729958	4	0
34_32_35__s1	1722	3153	4213	19.695528	0	0
34_32_43__s1	900	1472	1964	23.641304	0	0
34_32_46__s1	571	854	1101	23.915592	5	0
34_33_34__s1	1214	2230	3024	22.800718	0	0
34_33_39__s1	1120	1787	2415	17.627308	0	0
34_33_53__s1	1546	2490	3355	14.41767	5	1
34_33_66__s1	1631	2705	3607	15.859519	5	0
34_34_67__s1	1017	1617	2116	20.655535	0	0
34_35_03__s1	984	1519	2030	18.235682	0	0
34_35_14__s1	1878	3263	4412	14.8375225	4	1
34_35_17__s1	1072	1659	2181	16.877638	0	0
34_35_35__s1	2384	4526	6041	16.75138	0	0
34_35_53__s1	1847	3459	4682	20.90804	0	0
34_35_76__s1	1057	1695	2241	19.410028	0	0
34_35_83__s1	857	1257	1679	19.028662	3	0
34_36_14__s1	1745	2814	3777	13.965885	2	1
34_36_21__s1	2162	4148	5620	16.65863	0	0
34_36_44__s1	1078	1644	2260	15.450122	0	0
34_36_52__s1	1214	1974	2587	19.35157	0	0
34_36_68__s1	1112	1739	2316	15.774323	0	0
34_36_72__s1	848	1361	1876	19.1036	2	0
34_36_88__s1	1422	2418	3241	21.555647	0	0
34_37_20__s1	835	1251	1644	18.48	1	0
34_37_31__s1	1221	1958	2644	19.101124	5	0
34_37_47__s1	1424	2320	3092	18.154377	0	0
34_37_68__s1	1689	2760	3633	17.246378	2	0
34_37_84__s1	1308	1988	2712	16.197184	0	0
34_37_86__s1	1023	1611	2208	18.808193	3	0
34_38_21__s1	1879	3428	4583	16.574265	0	0
34_38_61__s1	736	1065	1405	16.807512	4	0
34_38_65__s1	907	1447	1896	17.553558	1	0
34_39_04__s1	983	1507	2054	19.9071	0	0
34_39_18__s1	818	1177	1561	15.123195	0	0
34_39_30__s1	778	1134	1536	17.372135	0	0
34_39_50__s1	1305	2267	3012	19.982355	0	0
34_39_58__s1	1606	2739	3576	17.123037	0	0
34_39_62__s1	832	1385	1795	21.877256	4	0
34_39_63__s1	2334	4172	5500	18.532726	3	0
34_39_70__s1	725	913	1208	4.271632	2	1
34_39_74__s1	838	1330	1784	18.721804	0	0
34_39_85__s1	2599	5142	6933	17.833529	4	0
34_39_87__s1	1277	2077	2804	20.943668	0	0
34_39_96__s1	1441	2526	3383	18.970297	4	0
34_40_03__s1	1023	1559	2092	12.5080185	1	1
34_40_06__s1	1060	1660	2298	18.264015	0	0
34_40_08__s1	723	1126	1503	16.25222	0	0
34_40_11__s1	1424	2254	2978	16.104702	7	0
34_40_14__s1	899	1186	1577	8.776371	0	1
34_40_21__s1	1579	2777	3787	20.021606	0	0
