bc_wells	gene_count	tscp_count	mread_count	pct_counts_mt	leiden	pct_counts_mt_below_7
80_51_94	1331	1766	1811	5.442177	1	1
80_52_28	414	468	483	5.1391864	1	1
80_52_39	305	348	360	3.4482758	1	1
80_54_67	359	392	402	5.6265984	0	1
80_55_17	2607	4113	4222	7.1046224	0	0
80_56_20	398	470	479	7.6595745	0	0
80_56_45	412	466	479	3.2258062	0	1
80_56_52	309	343	349	4.0816326	0	1
80_56_57	316	357	366	4.481793	0	1
80_56_63	845	1063	1095	6.403013	0	1
80_56_67	378	418	425	5.980861	1	1
80_56_95	350	398	412	4.7738695	0	1
80_57_48	377	436	445	5.5172415	1	1
80_58_03	1482	1981	2027	6.7307696	2	1
80_58_73	1003	1291	1322	5.357143	0	1
80_58_89	487	609	620	6.5789475	0	1
80_59_51	342	411	418	8.312959	2	0
80_59_85	729	905	923	5.6353593	2	1
80_60_06	338	381	390	4.7244096	2	1
80_62_31	622	751	769	5.733333	1	1
80_62_87	361	424	437	4.9528303	1	1
80_63_08	478	575	586	5.391304	2	1
80_63_58	640	818	835	12.117503	0	0
80_64_74	320	374	385	5.8981233	2	1
80_64_88	498	604	623	5.13245	1	1
80_64_91	424	495	509	6.0728745	0	1
80_65_03	386	478	488	11.087866	0	0
80_65_54	348	405	411	5.955335	0	1
80_65_55	392	483	493	7.0393376	0	0
80_65_61	368	419	431	7.194245	1	0
80_65_77	1217	1616	1653	5.5142503	0	1
80_68_14	326	358	369	6.1452518	1	1
80_68_23	388	471	485	8.085106	0	0
80_69_56	352	409	417	7.579462	0	0
80_70_06	453	538	549	4.8327136	1	1
80_72_06	388	445	459	4.494382	1	1
80_72_57	333	377	385	6.6489363	2	1
80_73_11	615	726	741	4.827586	1	1
80_73_94	1158	1564	1610	9.475032	0	0
80_74_47	380	445	453	7.4157305	0	0
80_75_82	459	552	566	4.710145	2	1
80_80_51	568	716	739	4.888268	2	1
80_81_16	337	385	392	3.6363635	0	1
80_82_21	646	765	789	6.2745104	2	1
80_84_35	317	361	370	6.3888893	1	1
80_84_84	830	1014	1040	4.6351085	1	1
80_85_04	344	384	398	6.005222	1	1
80_85_43	314	367	382	5.449591	1	1
80_85_49	362	425	434	5.424528	0	1
80_85_93	319	367	375	6.26703	0	1
80_86_40	604	717	738	7.541899	1	0
80_87_49	417	497	505	5.633803	2	1
80_87_54	1135	1445	1484	5.124654	1	1
80_87_75	723	887	911	3.945885	0	1
80_87_85	560	679	693	6.19469	0	1
80_89_46	569	671	686	4.9180326	0	1
80_89_73	572	697	716	5.882353	1	1
80_90_70	878	1101	1126	5.909091	0	1
80_94_16	444	527	545	4.1825094	2	1
80_94_19	781	960	979	3.862213	0	1
80_94_28	1739	2425	2484	5.117623	1	1
80_94_32	326	363	374	4.958678	2	1
80_94_39	375	430	436	6.744186	2	1
80_94_54	1671	2281	2338	7.2527475	2	0
80_94_57	465	548	560	7.4954295	0	0
80_94_62	391	454	462	5.2863436	0	1
80_94_68	474	568	583	5.996473	2	1
80_94_77	561	680	694	6.185567	0	1
80_94_83	563	684	704	4.0935674	0	1
80_96_65	364	423	437	7.3286047	1	0
81_02_66	335	394	400	6.3451777	0	1
81_03_42	390	443	457	5.656109	0	1
81_04_41	346	402	410	7.481297	0	0
81_05_18	340	399	405	8.77193	0	0
81_05_26	767	953	977	7.0304303	0	0
81_07_14	505	595	607	3.3613448	1	1
81_07_61	404	486	497	7.4074073	1	0
81_07_78	495	615	632	4.5602603	2	1
81_07_94	428	502	515	5.378486	1	1
81_07_95	429	511	521	6.6536202	0	1
81_08_39	424	487	498	3.0800822	0	1
81_09_40	312	347	357	5.202312	1	1
81_11_23	467	554	576	6.148282	1	1
81_13_10	1709	2382	2438	6.4285717	1	1
81_13_39	376	449	457	6.4587975	0	1
81_13_48	555	664	673	5.9001513	2	1
81_13_81	428	492	508	5.9304705	0	1
81_13_94	361	436	449	7.7981653	0	0
81_14_07	555	665	681	5.5722895	1	1
81_14_63	761	973	995	6.179197	0	1
81_15_31	825	1040	1072	6.4423075	1	1
81_15_92	890	1078	1101	4.8282266	1	1
81_16_16	323	390	400	7.435898	1	0
81_17_60	320	381	393	8.157895	1	0
81_17_62	430	518	529	8.108108	0	0
81_18_05	371	428	432	6.338028	2	1
81_18_12	443	498	509	4.4265594	2	1
81_18_39	452	554	562	7.233273	0	0
81_18_46	419	484	500	3.10559	0	1
81_18_54	1092	1414	1445	6.7280455	1	1
81_18_83	517	618	629	7.4554296	1	0
81_19_28	319	367	375	5.449591	0	1
81_19_35	491	587	600	5.9726963	0	1
81_19_93	378	434	447	6.4814816	0	1
