bc_wells	mread_count
03_11_80	1248
03_11_90	734
03_12_01	601
03_12_09	614
03_12_14	1034
03_12_50	1402
03_12_54	404
03_12_56	1466
03_12_61	886
03_13_06	580
03_13_09	5773
03_13_18	384
03_13_68	406
03_13_75	1291
03_13_83	1145
03_13_88	1333
03_14_21	496
03_14_38	4001
03_15_04	903
03_15_06	711
03_15_12	1411
03_15_19	1230
03_15_32	983
03_15_41	3008
03_15_46	6844
03_15_49	891
03_15_77	551
03_15_95	2203
03_15_96	1044
03_16_34	0
03_16_58	1558
03_16_65	387
03_16_72	0
03_16_87	515
03_17_24	2755
03_17_29	429
03_17_35	270
03_17_47	766
03_17_54	3904
03_17_65	280
03_17_66	1747
03_17_76	37
03_17_82	700
03_17_83	5079
03_17_89	12567
03_17_90	1295
03_17_92	246
03_18_20	4029
03_18_30	16395
03_18_31	2374
03_18_33	1845
03_18_42	444
03_18_43	3110
03_18_47	1958
03_18_49	881
03_18_55	7739
03_18_58	2046
03_18_64	561
03_18_76	1115
03_18_94	3466
03_19_07	714
03_19_16	818
03_19_38	1555
03_19_51	1134
03_19_55	2410
03_19_67	1882
03_19_87	3028
03_19_88	1686
03_19_90	2909
03_20_21	2822
03_20_37	3029
03_20_38	1101
03_20_57	1878
03_20_80	1097
03_20_83	976
03_20_88	587
03_21_11	1305
03_21_12	510
03_21_22	385
03_21_85	185
03_22_12	1357
03_22_35	0
03_22_45	735
03_22_50	1517
03_23_14	472
03_23_21	408
03_23_23	314
03_23_57	193
03_23_68	224
03_23_75	515
03_24_09	251
03_24_23	0
03_24_25	0
03_24_33	632
03_24_39	1159
03_24_59	4336
03_24_68	3964
03_24_94	1863
03_25_01	1982
03_25_04	976
03_25_27	1458
03_25_34	322
03_26_44	1304
03_26_51	179
03_26_61	1410
03_26_74	1617
03_26_91	898
03_26_95	1736
03_27_09	1090
03_27_14	1302
03_27_18	4231
03_27_33	459
03_27_38	5128
03_27_50	2798
03_27_78	1980
03_27_84	3269
03_27_88	1805
03_28_01	396
03_28_21	2021
03_28_22	0
03_28_25	116
03_28_68	1465
03_29_15	1577
03_29_50	4094
03_29_53	1335
03_29_78	3529
03_29_89	1704
03_29_95	473
03_30_29	1312
03_30_31	700
03_30_47	1287
03_30_60	0
03_30_63	0
03_30_78	788
03_30_85	647
03_30_90	1274
03_31_10	979
03_31_12	348
03_31_15	1865
03_31_19	381
03_31_54	1693
03_31_60	1466
03_31_61	1291
03_31_74	11461
03_31_77	250
03_31_96	1886
03_32_02	527
03_32_07	30
03_32_10	331
03_32_42	398
03_32_60	2269
03_32_73	723
03_32_90	1281
03_32_96	1613
03_33_02	620
03_33_05	651
03_33_16	0
03_33_58	941
03_33_88	805
03_33_91	2287
03_34_05	1471
03_34_15	650
03_34_20	1703
03_34_28	345
03_34_80	11872
03_34_90	1157
03_34_93	771
03_35_35	1871
03_35_41	774
03_35_49	1095
03_35_56	443
03_35_57	1400
03_35_75	1467
03_35_95	1079
03_36_04	5527
03_36_06	956
03_36_22	5233
03_36_28	2154
03_36_32	1660
03_36_75	8009
03_36_90	2703
03_37_07	1776
03_37_14	446
03_37_34	325
03_37_72	1465
03_37_88	1648
03_38_07	299
03_38_10	467
03_38_12	1344
03_38_16	1122
03_38_18	494
03_38_27	2469
03_38_55	0
03_38_70	576
03_38_81	927
03_38_85	1035
03_39_02	478
03_39_17	7007
03_39_34	1306
03_39_39	3778
03_39_67	1506
03_39_83	1945
03_39_91	919
03_40_27	2270
03_40_75	3672
03_40_80	12619
03_41_29	2101
03_41_35	0
03_41_42	505
03_41_51	758
03_41_67	1316
03_41_71	1838
03_41_82	179
03_42_58	688
03_42_67	640
03_42_83	0
03_43_27	1269
03_43_54	0
03_43_68	355
03_43_83	597
03_43_87	1793
03_44_14	357
03_44_67	4950
03_44_69	400
03_44_82	542
03_44_94	222
03_44_95	1502
03_45_01	604
03_45_13	1107
03_45_26	1220
03_45_55	2060
03_45_66	671
03_45_96	4040
03_46_33	1738
03_46_45	952
03_46_52	707
03_46_55	0
03_46_60	1492
03_46_75	1313
03_46_90	3678
03_47_09	1126
03_47_17	748
03_47_45	838
03_47_50	0
03_47_52	452
03_47_53	610
03_47_58	1740
03_47_59	6226
03_47_64	1158
03_47_78	5890
03_48_01	2088
03_48_17	1104
03_48_24	1923
03_48_42	2558
03_48_43	908
03_48_67	493
03_48_70	564
03_48_77	5358
03_48_82	1679
03_48_90	0
03_49_09	471
03_49_78	150
03_50_03	428
03_50_04	6922
03_50_32	0
03_50_57	283
03_50_77	5025
