guide,bc_wells
guide_A,05_19_36
guide_A,05_19_39
guide_A,05_20_07
guide_A,05_20_13
guide_A,05_20_41
guide_A,05_20_55
guide_A,05_20_72
guide_A,05_20_95
guide_A,05_21_34
guide_A,05_21_50
guide_A,05_22_37
guide_A,05_22_72
guide_A,05_22_96
guide_A,05_23_70
guide_A,05_23_96
guide_A,05_24_19
guide_A,05_24_34
guide_A,05_24_39
guide_A,05_24_77
guide_A,05_24_94
guide_A,05_25_07
guide_A,05_25_32
guide_A,05_25_54
guide_A,05_25_57
guide_A,05_25_83
guide_A,05_26_01
guide_A,05_26_05
